action,utterance,state,count
jump_over,pro,agent_falls,29
jump_over,pro,patient_falls,6
jump_over,zero,agent_falls,52
jump_over,zero,patient_falls,0
wave,pro,agent_falls,25
wave,pro,patient_falls,10
wave,zero,agent_falls,44
wave,zero,patient_falls,4
attack,pro,agent_falls,33
attack,pro,patient_falls,21
attack,zero,agent_falls,42
attack,zero,patient_falls,6
throw_rock,pro,agent_falls,16
throw_rock,pro,patient_falls,20
throw_rock,zero,agent_falls,36
throw_rock,zero,patient_falls,6
overall,pro,agent_falls,103
overall,pro,patient_falls,57
overall,zero,agent_falls,184
overall,zero,patient_falls,16
