action,utterance,state,count
jump_over,pro,agent_falls,31
jump_over,pro,patient_falls,4
jump_over,zero,agent_falls,45
jump_over,zero,patient_falls,4
wave,pro,agent_falls,24
wave,pro,patient_falls,12
wave,zero,agent_falls,31
wave,zero,patient_falls,4
attack,pro,agent_falls,23
attack,pro,patient_falls,12
attack,zero,agent_falls,32
attack,zero,patient_falls,4
throw_rock,pro,agent_falls,18
throw_rock,pro,patient_falls,15
throw_rock,zero,agent_falls,32
throw_rock,zero,patient_falls,11
overall,pro,agent_falls,96
overall,pro,patient_falls,43
overall,zero,agent_falls,140
overall,zero,patient_falls,23
